Token, Language, Named Entity, Eng-NGram Prob, Spn-NGram Prob, HMM Prob
The,Eng,O,36.4407946419,10.3298892733,0.452123552124
list,Eng,O,24.9477418901,13.3328440174,0.452123552124
is,Eng,O,23.1884503461,6.50431857994,0.452123552124
rather,Eng,O,33.76560678,5.1648826168,0.452123552124
voluptuously,Eng,O,0.526355302706,-13.1722765786,0.452123552124
extensive,Eng,O,33.2432076144,9.10606300643,0.452123552124
",Punct,O,N/A,N/A,N/A
de,Spn,O,13.8613083221,21.6054699814,0.0921492921493
la,Spn,O,15.0596736711,20.7584499854,0.363577863578
gente,Spn,O,12.1069877419,24.2416008085,0.363577863578
que,Spn,O,9.91253492829,28.9576207281,0.363577863578
me,Spn,O,20.4125145712,19.8593917724,0.363577863578
ha,Spn,O,16.4502481388,17.1114825146,0.363577863578
brindado,Spn,O,4.70714292764,17.0227639553,0.363577863578
su,Spn,O,11.553321645,18.2146153575,0.363577863578
apoyo,Spn,O,3.77883650327,11.7912228185,0.363577863578
",Punct,O,N/A,N/A,N/A
who,Eng,O,26.8346661196,-0.235257192786,0.0921492921493
have,Eng,O,37.423951585,9.35655377558,0.452123552124
told,Eng,O,27.8785831476,8.09591598597,0.452123552124
me,Eng,O,20.4125145712,19.8593917724,0.452123552124
",Punct,O,N/A,N/A,N/A
over,Eng,O,28.7262827802,1.92042472147,0.452123552124
the,Eng,O,36.4407946419,10.3298892733,0.452123552124
past,Eng,O,23.5657129351,17.3546973177,0.452123552124
three,Eng,O,38.6935581964,3.78637602221,0.452123552124
years,Eng,O,40.0946025292,-3.74118701952,0.452123552124
or,Eng,O,21.8531675153,8.53192797732,0.452123552124
so,Eng,O,23.4187367401,12.3925242118,0.452123552124
:,Punct,O,N/A,N/A,N/A
go,Eng,O,21.2140467794,8.08360356719,0.452123552124
for,Eng,O,28.3647832078,11.7395374159,0.452123552124
it,Eng,O,25.1994714489,5.73644785319,0.452123552124
",Punct,O,N/A,N/A,N/A
estaes,Spn,O,5.40449312569,16.742540624,0.0921492921493
tu,Spn,O,11.4576235731,16.3844238655,0.363577863578
voz,Spn,O,3.50056081835,14.5640902382,0.363577863578
.,Punct,O,N/A,N/A,N/A
For,Eng,O,28.3647832078,11.7395374159,0.0921492921493
their,Eng,O,43.9601024774,3.25938546159,0.452123552124
incisive,Eng,O,16.3536439,3.24385541486,0.452123552124
critiques,Eng,O,13.8750315976,11.9397709839,0.452123552124
",Punct,O,N/A,N/A,N/A
their,Eng,O/ORG,43.9601024774,3.25938546159,0.452123552124
questions,Eng,O/ORG,38.0710893438,15.7215127722,0.452123552124
and,Eng,O/ORG,34.6599707262,16.3582560041,0.452123552124
their,Eng,O/ORG,43.9601024774,3.25938546159,0.452123552124
encouragement,Eng,O/ORG,36.2869872005,-3.30097478717,0.452123552124
",Punct,O,N/A,N/A,N/A
I,Eng,O/ORG,17.8994570652,7.18059700701,0.452123552124
am,Eng,O/ORG,17.925277674,9.73847561876,0.452123552124
deeply,Eng,O/ORG,16.2969356471,-1.42325634023,0.452123552124
grateful,Eng,O/ORG,21.1684615173,0.0668666644528,0.452123552124
to,Eng,O/ORG,25.8573893813,12.6868182002,0.452123552124
the,Eng,O/ORG,36.4407946419,10.3298892733,0.452123552124
following,Eng,O/ORG,35.8170603508,-6.85643619409,0.452123552124
friends,Eng,O/ORG,37.803140216,8.62201179791,0.452123552124
and,Eng,O,34.6599707262,16.3582560041,0.452123552124
colleagues,Eng,O,28.1969754674,1.91888040146,0.452123552124
:,Punct,O,N/A,N/A,N/A
Jack,Eng,PERSON/PERS,14.5983603915,8.80856767001,0.452123552124
Abecassis,Eng,PERSON/PERS,-3.28540744894,-9.61174435909,0.452123552124
",Punct,O,N/A,N/A,N/A
Frances,Eng,PERSON/PERS,30.4688457344,21.4432149351,0.452123552124
R.,Spn,PERSON/PERS,2.72230107874,2.97822673283,0.0921492921493
Aparicio,Spn,PERSON/PERS,2.8663098781,19.0570913523,0.363577863578
",Punct,O,N/A,N/A,N/A
Samuel,Eng,PERSON/PERS,8.03461444973,7.49871237028,0.0921492921493
G.,Eng,PERSON/PERS,1.52231894493,1.08509392494,0.452123552124
Armistead,Eng,PERSON/PERS,14.265493446,6.31118786248,0.452123552124
",Punct,O,N/A,N/A,N/A
Alicia,Spn,PERSON/PERS,9.42318723249,14.2071030484,0.0921492921493
Arrizón,Spn,PERSON/PERS,5.1686904662,9.03015049947,0.363577863578
",Punct,O,N/A,N/A,N/A
Diana,Eng,PERSON/PERS,19.2776708091,15.1933346757,0.0921492921493
Bellessi,Eng,PERSON/PERS,9.84573461564,2.44707611566,0.452123552124
",Punct,O,N/A,N/A,N/A
Emilie,Eng,PERSON/PERS,8.23171006982,5.57236959345,0.452123552124
Bergmann,Eng,PERSON/PERS,-1.15713097005,-3.31427621081,0.452123552124
",Punct,O,N/A,N/A,N/A
Ksenija,Eng,PERSON/OTROS,-13.5831762035,-18.549427733,0.452123552124
Bilbija,Eng,PERSON/OTROS,0.874522546083,-0.277405951348,0.452123552124
",Punct,O,N/A,N/A,N/A
Ivonne,Eng,PERSON/PERS,0.667130857801,-7.89064540664,0.452123552124
Bordelois,Eng,PERSON/PERS,5.51258019562,-1.33553470635,0.452123552124
",Punct,O,N/A,N/A,N/A
